Eksiklik teoremi	Yinelgen
Türkiye Komünist Fırkası	Türkiye Komünist Partisi (1920)
1954 Türkiye Cumhuriyeti Milletvekili Genel Seçimleri	1954 Türkiye Cumhuriyeti Milletvekili Genel Seçimleri - Afyon
Koguryo	Salsu Muharebesi
M6 Fargo	II. Dünya Savaşı zırhlı araç listesi
Charles	Charlie
Mankala	Dokuz kumalak
Fotoğrafçılık	Kırılma
Din sosyolojisi	Din Bilimleri
Top R&B/Hip-Hop Albums	Billboard (dergi)
Eğitim	Eğitim Bilimleri
APM serisi parça tesirli yönsel mayınlar	Mayın
Birleşik Krallık-Kıbrıs Cumhuriyeti ilişkileri	Türk asıllı İngilizler
Olsen Brothers	Eurovision Şarkı Yarışması
UEFA Şampiyonlar Ligi 1993-94	UEFA Kupası 1993-94
Panzerkampfwagen I	II. Dünya Savaşı Zırhlı Araç Listesi
Karl Shuker	Kanatlı Kediler
Sare	Kantura
Köy Enstitüleri	İsmail Hakkı Tonguç
Karar verme	Risk yönetimi
Monohibrit çaprazlama	Çaprazlama
Cotonou	Cotonou Anlaşması
Near East (savaş oyunu)	İngiliz-Irak Savaşı
Peter Gustav Lejeune Dirichlet	Cebrik sayılar teorisi
Çelik (anlam ayrımı)	Demirali
Slovenya tarihi	II. Dünya Savaşı
Red Deer (Alberta)	Alberta
Postkognisyon	Akaşik kayıtlar
Artuklu Beyliği	Artuklu beyleri listesi
Dresden Bombardımanı	Tokyo Bombardımanı
Yahudi Yemen Arapçası	Yahudi Irak Arapçası
Hasan el-Benna	Seyyid Kutub
IV. İvan (Rusya)	İvan Vasileviç İşini Değiştiriyor (film)
Kaknüs kuşu	Tuğrul (kuş)
Muzaffer Tekin	Veli Küçük
Değişen yıldız belirtmesi	Yıldız kataloğu
Cascina Savaşı (Michelangelo)	Anghiari Savaşı (tablo)
Volkssturm	Wachdienst
Pardus 2008.2 Canis aureus	Pardus 2008
Judson Laipply	YouTube
Arena	Arenas
Matematiksel analiz	Harmonik analiz
Hidroksit	Hidroksill
Tersine mühendislik	Antikythera mechanism
Isı pompası	Kompresör
Gül Baba (opera)	Gül Baba
FMK-3 mayını	Kara mayınları listesi
DVD+R	DVD+R DL
Gelibolu, Çanakkale	Çanakkale Savaşları
Mira Krallığı	Lidya
Mir	Salyut
Benito Mussolini	Milliyetçilik
Avrupa Birliği'nin dış ilişkileri	Akdeniz İçin Birlik
Galaksi	Teker (galaksi)
Alel	Gen
Bulunduğumuz Yol	ABD 1974 yılı 1 numara şarkıları
Sovyetler Birliği Marşı	Rusya Federasyonu Ulusal Marşı
Ahmet Yesevi	Ahmet Yesevi Üniversitesi
Yakın gökadalar dizini	Gökadalar dizini
KAO döngüsü	Üç-alfa süreci
Pir Sultan Abdal Kültür Derneği	Sivas Katliamı
Vecd	Astral seyahat
Yeni Türk lirası	Yeni Kuruş
Klein-Gordon denklemi	Schrödinger denklemi
Kendiliğinden imajinasyon	Dezenkarnasyon
Geometrik seri	Geometrik ilerleme
Monolit	Monolitik
Milan Tanksavarı	ERYX
Don Pasquale	Gaetano Donizetti
Aralık tahmini	Çıkarımsal istatistik
Diablo	Diablo 3
Köchel Dizini	Wolfgang Amadeus Mozart
Çakıl mayınlar	Mayın
TMA-2 mayını	Mayın
Çok katlı yassı epitel	Çok katlı yassı epitel
Temel kuvvet	James Clerk Maxwell
Mem	Tanrı Yanılgısı
Türk şarkıcıları ve müzisyenleri listesi	Türk kültürü
Tardiv diskinezi	Diskinezi
Türk edebiyatında şiir	Epik Şiir
Kelt mitolojisi	Triskele
Normandiya	Normanca
Médecins Sans Frontières	Nobel Barış Ödülü sahipleri
TM-44 mayını	Tanksavar mayını
Mk 2 mayını	Mayın
Wilhelm Frick	Robert Wagne
Parçacık listesi	Standart Model
Gökada kümeleri dizini	Samanyolu
Matematiksel gösterim	Matematiksel sembollerin tablosu
Shōjo	Josei
Peçenekler	Türk Boylarının Tamgaları
Kremlin Duvarı Mezarlığı	Lenin’in Mozolesi
Sekizinci Alışkanlık (kitap)	Popüler iş kitapları listesi
Yağ doku	Pigment doku
Adil Bey Holding	Doğan Holding
Güney Avustralya	Adelaide Sanat Festivali
Karanlık madde	Karanlık enerji
Göreme, Nevşehir	Göreme'deki Kiliseler
Japonya'daki Tatar ve Başkurt toplulukları	Tokyo Camii
Samvel Babayan	Şuşa Muharebesi
Yılbaşı	Türkiye'de Yılbaşı
Feldspat	Kalkosodik
Myron Scholes	Ekonomistler listesi
Lişan Didan	Musevi dilleri
Abraham Lincoln	Yeniden yapılanma dönemi (1865-1877)
Kapalı tohumlular	İki çenekliler
Hindistan'ın eyaletleri ve birlik bölgeleri	Hindistan'daki şehirler listesi
Makin Adası Baskını	Makin Muharebesi
Hindiçin	Doğu Hint Adaları
Gelibolu sınıfı fırkateyn	Türk Deniz Kuvvetleri
Peynir	Mandıra ürünü
Anadolu Yakası	İstanbul'un ilçeleri
Werner Kempf	Kursk Savaşı
Vo Nguyen Giap	Vietnam Savaşı
Kanatlardan kuşatma	Altı gün savaşı
Aleksey Botvinyev	Rusya Premier Ligi
III. Tiberius	Bizans imparatorları
Rüştü Paşa	Kurtuluş Savaşı'na katılan üst kademelerdeki komutanlar
Apl.de.ap	The Black Eyed Peas
Said Nursî	Risale-i Nur
Kutuplar	Dünya
Marder II	II.DS sırasında Almanya tank üretimi
Stephan Beşlisi	Robert Dörtlüsü
DVD+R	MiniDVD
Endülüs	Endülüs Emevi Devleti
Ekstrapolasyon	Regresyon
Mina Anna Mazzini	Sezen Cumhur Önal
Walter Model	Gerd von Rundstedt
Deniz Öz Savunma Kuvvetleri savaş gemileri listesi	Japon İmparatorluk Deniz Kuvvetleri savaş gemileri listesi
Mezopotamya	Sümer
Önvurgu	Elektronik filtre
Balmumu	Balmumu heykel
Peter Gustav Lejeune Dirichlet	Dirichlet tessellation
Kirk Douglas	Spartaküs (film)
Dayito	Taçi
NGC 5010	NGC 4261
Aralık tahmini	Güven aralığı
Konstantinopolis Kuşatması (1235)	Konstantinopolis Kuşatması (1203)
Irmak kümesi	Ocak kümesi
Yunanca	Yevanik
Yapay dil	İdo dili
İstanbul'un tarihi	Antik Yunanistan
Zeta dağılımı	Pareto dağılımı
Tuğba Daşdemir	2010 Kış Olimpiyatları/Türkiye
Sina ve Filistin Cephesi	Birinci Gazze Muharebesi
Andromeda'nın uydu gökadaları	Yakın gökadalar dizini
Behiç Erkin	Nefes Nefese
Soygaz	İnert gaz
Kepler görevi	Hubble Uzay Teleskobu
Kum fırtınası	Toz şeytanı
James Hopwood Jeans	Rayleigh-Jeans yasası
BTR-94	BTR-70
1993 UEFA Şampiyonlar Ligi Finali	UEFA Şampiyonlar Ligi 1992-93
VII. Davit Ulu	Gürcistan ve Kafkasların Moğollar tarafından istilası
Oksitetrasiklin	Antibiyotik
Ülkelerin kişi başına GSYİH’ye (SAGP) göre sıralanışı	Ülkelerin kişi başına saatlik GSYİH’ya (SAGP) göre sıralanışı
Switchball	Kula World
Kapsül (mikrobiyoloji)	Biyoloji
Düzensiz sıkı bağ doku	Retiküler bağ doku
Laçın	Karabağ Savaşı
Renk	Hakim dalgaboyu
Lucene	Hibernate search
Advaita Vedanta	Atman
Sosyalizm	Ekim Devrimi
Katabolizma	Metabolizma
Marneuli	Borçalı
Kirlian fotoğrafçılığı	Ruh
NGC 6027B	Seyfert Altılısı
NGC 253	NGC 288
Toshiba	HD DVD
Southern blot	PCR
Öğün	Gıda
Fuat Saka	Volkan Konak
I. James	IV. James
Spelling Television	Republic Pictures
1983 UEFA Kupası Finali	UEFA Kupası 1982-83
Demiryolu kazaları listesi (2000-2009)	İngiliz demiryolu kazaları listesi
Leontios	Bizans imparatorları (liste)
Kazaklar (Türk)	Kazakça
Klonlama	Gen klonlaması
Giovanni Paisiello	Ünlü operalar listesi
Roma köprüleri listesi	Roma askeri mühendisliği
Schu-mine 42	Kara mayınları listesi
3. Ordu (Romanya)	4. Ordu (Romanya)
Fenice Tiyatrosu	Venedik
Türk şarkıcıları ve müzisyenleri listesi	Türk müziği
Sekülerizm	Sivil din
İstanbul'un tarihi	Byzantion
A las barricadas	Varşavyanka
Avrupa Birliği'nde bilim ve teknoloji	Avrupa Araştırma Konseyi
Birey	Kültürel kimlik
Moleküler klonlama	Klonlama
Panzerkampfwagen 38(t)	II. Dünya Savaşı Zırhlı Araç Listesi
Demokrat Parti (1946)	Liberalizm
Su kemeri	Tonoz (mimarlık)
Aubrey Beardsley	Art Nouveau
PM-43 ve PM-68 mayını	Tanksavar mayını
Dolaşım sistemi	Kardiyoloji
José Ramón Fernández	Küba Füze Krizi
İşinizi Yeniden Yaratın İş Hayatında Mükemmeli Yakalamak (kitap)	Popüler iş kitapları listesi
Messier 58	Başak yıldız kümesi
Shōjo	Seinen
1998 Dünya Halter Şampiyonası - Erkekler 69 kg	1996 Yaz Olimpiyatları'nda halter - Erkekler 70 kg
Hiperbolik spiral	Arşimet spirali
PKK'yı terör örgütü kabul eden ülke ve kuruluşlar	PKK'nın Türkiye'deki eylemleri koronolojisi
Ekonomik büyüme	Robert Solow
Sevhac	Mısır'daki şehirler listesi
Özgürlük İçin	Özgür yazılım
Türk Devlet ve Toplulukları Dostluk Kardeşlik ve İşbirliği Kurultayı	Orta Asya Birliği
Jacobo Arbenz Guzmán	Decree 900
Cobra Harekâtı	Normandiya
Güney Kutup Dairesi	Ekvator
Radyo frekans	Radyo dalgaları
II. Muaviye	Emeviler
Abell 3266	Saat Süperkümesi
Kırkpınar	Güreş
Pontus lehçesi (Yunanca)	Yunanca
Pul (posta)	Pul koleksiyonculuğu
Sosyalizm	Paris Komünü
Yıldız ışıltısı	Parlak yıldızlar listesi
Yavuz 16	Taurus PT-92
Süpürge	Elektrikli süpürge
Cinsiyet	Dişi Cinsiyet
Rekombinant DNA teknolojisi	Hibritleşme
Aralık tahmini	Tahmin etme
Musa Çelebi	1. Mehmet
NGC 7354	Gezegenimsi bulutsular
Türkiye'de korsan yazılım	Warez
Karboksilik asit	Asit Anhidrit
Feldspat	Ortoklas
AK-74	RPK-74
Zeynel Abidin	İslam
Patofizyoloji	Patoloji
Ökaryotlarda DNA ikileşmesi	Prokaryotlarda DNA ikileşmesi
Optimizasyon	Tek Yönlü Algoritma
Yunanlar	Yunan Krallığı
Kore takvimi	Çin takvimi
Refik el-Hariri	Gebran Tueni
Kırmızı algler	Yeşil algler
Bilgisayarlı cebir sistemi	İstatistiksel Paketleme
Dadaizm	Marcel Duchamp
Gundeşapur Akademisi	List of Iranian Research Centers
Zeta dağılımı	Cauchy dağılımı
Uganda Planı	Madagaskar
CAS kayıt numarası	SMILES
Urla, İzmir	Limantepe
F-testi	F-dağılımı
Parçacık listesi	Periyodik tablo
Kadro (dergi)	Kadrocular
Rusça	Kiril abecesi
Rowan Williams	Canterbury Katedrali
Komsomol	Komsomolskaya Pravda
Placeopedia	Windows Live Local
Kanatlardan kuşatma	Stalingrad Savaşı
Yer imleri	Favicon
Süpürge	Cadı süpürgesi
Finansal ekonomi	Risk-free interest rate
Iraksak seri	1 − 2 + 4 − 8 + · · ·
Marmaduke Pickthall	Ahmed Raza Khan
Kuzeytacı Süperkümesi	Süperküme
Kabalacılık	Kabala
Tudor Hanedanı	İrlanda'nın ikinci Tudor fethi
İkincil karakter Ravenclaw'lılar	İkincil karakter Hufflepuff'lılar
John P. O'Neill	Remzi Yusuf
Thomas Robert Malthus	Sosyal Darwinizm
Apple	MacBook Pro
Yapraklı kara yosunları	Ciğer otları
Vietnam Komünist Partisi	Ho Chi Minh
Ökaryotlarda DNA ikileşmesi	Kinaz
Pigment doku	Bağ doku
Operadaki Hayalet (roman)	Operadaki Hayalet
Fransa'nın bölgeleri	Fransa'nın illeri
Basınç merkezi	Aerodinamik merkez
Senozoik	Jeolojik Devirler
Gökbilim	Kutup ışıkları
Sincan Uygur Özerk Bölgesi	Doğu Türkistan Cumhuriyeti Sürgündeki Hükûmeti
Nobel Edebiyat Ödülü sahipleri listesi	Nobel Edebiyat Ödülü
M40 Kundağı Motorlu Obüs	II. Dünya Savaşı Zırhlı Araç Listesi
Mezozoik	Jeolojik devirler
İzmir (il)	1922 İzmir Yangını
TM-72 mayını	Kara mayınları listesi
Polimeraz zincir tepkimesi	Rekombinant DNA teknolojisi
Dark Phoenix	Cyclops (Scott Summers)
Polimeraz zincir tepkimesi	Gen yalıtımı
Cauchy integral teoremi	Kontür integrali metodları
En yüksek eski yapılar listesi	Dünyanın en uzun yapıları
Yağ bezi	Yağ hücresi
Ortadoğu tarihinin kronolojik listesi	Kenan Ülkesi
Denizatı	Newcastle Üniversitesi, Avustralya
Batı Yarımküre	Yeni Dünya
Hipoklorit	Kalsiyum hipoklorit
Macdonald Ayaklanması	İskoç tarihi
Yakın parlak yıldızlar dizini	SETI
Satranç	Ünlü satranç oyuncuları
Los cuatro generales	A las barricadas
İran	Tahran Borsası
IBM PC-DOS	MS-DOS
Zam Zam Cola	Cola Turka
Kalp Sutra	Mahayana Sutraları
The Phantom of the Opera (müzikal 1986)	Operadaki Hayalet (roman)
Partizan (silahlı kuvvetler)	Asimetrik savaş
TM-35 mayını	Tanksavar mayını
Çizgi integrali	Diverjans teoremi
Hertzsprung-Russell diyagramı	Hess çizeneği
Mehtap TV	Cihan Haber Ajansı
John Bacon	Mermer heykel
Yugoslavya’nın Dağılması	Hırvatistan Savaşı
Ontoloji	Gottfried Leibniz
MATS/2 mayını	Mayın
Nedensellik	Kuantum fiziği
Ningxia Huizu Özerk Bölgesi	Sincan Uygur Özerk Bölgesi
MI AC PR mayını	Kara mayınları listesi
Nora Roberts	MacGregor Ailesi
Misyoner	Havari
MP3	DivX
Yün	Tiftik
Büyük Macaristan Ovası	Güney Alföld
Nobel Edebiyat Ödülü sahipleri listesi	Nobel Ödülü
Dan kabilesi	Dan (Beni İsrail)
Hicazkâr	Rast
Amundsen-Scott Güney Kutbu İstasyonu	Antarktika'daki araştırma istasyonlarının listesi
Şalgam	Şalgam suyu
Büyük sayılar yasası	Merkezsel limit teoremi
İkinci Haçlı seferi	Haçlı seferleri
Devil's Horsemen	İndus Nehri Muharebesi
Cem TV	Turksat 2A/3A' daki kanalların frekans listesi
F-testi	Doğrusal regresyon
Tokol	E vitamini
Uçak gemisi	Uçak gemileri listesi
Cl 0024+17	Karanlık madde
Osmanlı mimarisi	Türbe
Type 59 (tabanca)	Type 77
Portekiz coğrafi keşifleri	Çin coğrafi keşifleri
Fosfatidilkolin	CDP kolin
Meridyen (gökbilim)	Meridyen (coğrafya)
Atom bombası	Hidrojen bombası
Türkiye'de korsan yazılım	Scene nfo
NGC 5921	NGC 1300
Dünya Sosyal Forumu	Küreselleşme
Janet Jackson	ABD 1991 yılı 1 numara şarkıları
İ sayısı	Complex plane
Lezbiyen	Siyah Üçgen
Binom dağılımı	SOCR
NGC 89	Robert Dörtlüsü
Ketboğa	Memlûk Sultanlığı
Gradyan	Diverjans
Gökyüzü koordinat sistemi	Yörünge Eğikliği
Timor	Doğu Timor
Azerbaycan'daki Türk halkları	İran'daki Türk halkları
El Ariş	Mısır'daki şehirler listesi
Gentlemen of Nerve (film, 1914)	Slapstick
Napoli Krallığı krallar listesi	Napoli Krallığı
Sirenayka	Fizan
Türk asıllı Britanyalılar	Türk azınlıklar
Beşir Balcıoğlu	ASALA'nın eylemleri
Henry Morgan	Kaptan Kidd
SACI mayını	Kara mayınları listesi
Pertev Naili Boratav	DTCF Olayları
PRB-111 mayını	Kara mayınları listesi
Eşek arısı	Yaban arısı
NGC 1232	NGC 1097
NBC	CNBC-e
Büyük Arnavutluk	2001 Makedonya çatışması
Çok katlı değişici epitel	Tek katlı kübik epitel
Su yosunları	Kırmızı algler
SS-Obersturmführer	SS rütbeleri
Akciğer kanseri	Türk Toraks Derneği
Konstantinopolis	İstanbul'un işgali
Aleksandr Nevski	Rus hükümdarları listesi
Zil (çalgı)	Çalpara
Bulgaristan yapımı anti helikopter mayınları	Ottowa Antlaşması
2009 Kuzey Kıbrıs parlamento seçimleri	KKTC Cumhuriyet Meclisi 7. dönem milletvekilleri listesi
Roma şehrindeki su kemeri listesi	Su kemeri
Silistre	Silistre Kuşatması
III. Jan Sobieski	II. Viyana Kuşatması
Nikâh	Medeni birliktelik
His Musical Career (film, 1914)	Sessiz film
İnsani Gelişme Endeksi	Ülkelere göre İnsani Gelişme Endeksi listesi
Don Juan	Giacomo Casanova
Rhythm and Blues	New jack swing
Ryugyong Oteli	Dünyanın en uzun yapıları
Justine Ezarik	Brooke Brodack
Biseksüeller listesi (T-Z)	Biseksüeller listesi (A-F)
NGC 6770	NGC 6769 Grubu
İnsansız hava araçları	UAV Battlelab
Astral seyahat	Aura
Mustafa Kemal Atatürk	Atatürk'ün son günleri ve ölümü
Borbecksch	Essen-Borbeck
Ontoloji	Plotinus
Football League One	2003-04 in English football
Bulanık mantık	Matematiksel Mantık
Hicaz (müzik)	Hicazhümayun
Hulusi Behçet	Dermatoloji
Rahmi Koç	Vehbi Koç
Selahaddin Eyyubi	Lüzinyanlı Guy
Tekerlekli sandalye tenisi	Paralimpik Oyunları
Bulgar Komünist Partisi	Georgi Dimitrov
Lütercilik	Martin Luther
Makbule Abasıyanık	Sait Faik Abasıyanık Müzesi
Refah ekonomisi	Feminist ekonomisi
Ali Köse	Din bilimleri
Amitabha	Buda
Glikozilasyon	İlerlemiş glikasyon sonürünleri
Gökyüzü koordinat sistemi	Eksensel eğim
Mete	Büyük Hun İmparatorluğu
Buhori dili	Buhara Emirliği
Demokrat Parti (1946)	Celâl Bayar
SSCB Lideri	Sovyetler Birliği Komünist Partisi Genel Sekreteri
Barrett M82	İstiglal
Yunanlar	Rum (ırk)
Leylâ ile Mecnun	İskendername
Misk kedisigiller	Kuyruksüren
Memlûk Sultanlığı	Mısır Memlûk sultanlar listesi
Binom dağılımı	Multinom dağılımı
İstanbul Hezarfen Havaalanı	Atatürk Uluslararası Havalimanı
Treehouse of Horror bölümleri listesi	Simpsonlar bölümleri listesi
Japonya	Japonya'daki şehirler listesi
Japonya Standart Zamanı	Japon takvimi
Jeroboam I	Birinci İsrail Krallığı
Büyük Hun İmparatorluğu	Hiung-nu tanhular listesi
Asilasyon	Endikatör
Lale çılgınlığı	Güney Denizi Balonu
Irkçılık	Nazi
Yüksek Dünya yörüngesi	Yörüngeler listesi
Otello	Giuseppe Verdi
Jean Charles Athanase Peltier	Termoelektrik soğutma
Yunanca	Kathareuousa
Seán O'Casey	W. B. Yeats
İran	İran şehir ve köy konseyleri
Betül Mardin	Şerif Mardin
Gizli oy	Seçim dolandırıcılığı
Ülkelere göre Müslüman nüfusu	İslam ülkeleri
1998-1999 Kosova Savaşı	Kosova tarihi
Cinsel ayrımcılık	Heteroseksüel
Normal dağılım	Müzik
Brown hareketi	Tyndall etkisi
Salsa (dans)	Samba
Ayasofya Müzesi	Aya İrini
Y Kromozomu	Kromozom
Haşhaşin	Nizarîlik
Astrobiyoloji	SETI
NGC 5364	Başak III Grupları
Georg Friedrich Handel operaları listesi	Opera
Yerleşke	Uydu yerleşke
Torpido	II. Dünya Savaşı
Büyük Beyaz Filo	Monroe doktrini
Ferdinand Schörner	Balkan Cephesi (İkinci Dünya Savaşı)
Karyotip	Karışık kromozomal sapmalar
Çok katlı değişici epitel	Örtü epiteli
Beta Israel	Musa Operasyonu
Kıyamet	Melhame-i Kübra
Qingdao	2008 Yaz Olimpiyatları
Dunkirk Antlaşması	Brüksel Antlaşması (1948)
Ebuzer el-Gifari	Mikdad
Pierre Abélard	Adcılık
Halepçe	Halepçe'ye zehirli gaz saldırısı
Hazar TV	Mehtap TV
Boşluk (gökbilim)	Süperkümeler dizini
DNA-DNA hibridizasyon	Hibridizasyon
Nick Cave	Mick Harvey
Newcomen buhar makinesi	Buhar makinesi
Takıntı	Obsedör
İrkeştam Geçiti	Torugart Geçiti
Sarıalioğlu Ailesi	Of, Trabzon
Laçın Rayonu	Dağlık Karabağ Özerk Oblastı
II. James	IV. James
M6 mayını	Mayın
Türk Silahlı Kuvvetlerinde Zırhlı Birlikler	II. Dünya Savaşı tankları
Gökada merkezi	Gökada karşımerkezi
Diablo	Diablo 2
Mikrovillus	Sil
Julius Streicher	Joachim von Ribbentrop
II. Basileios	Bizans imparatorları (liste)
VS-AT4 mayını	Mayın
So You Think You Can Dance (2. Sezon)	So You Think You Can Dance
Tümleme	Tamamlama
Çigong	Büyük Gök Döngüsü
Kelt mitolojisi	Druidizm
Messier 38	Messier 36
C değeri muamması	Genom
Devrim	Fransız Devrimi
Galatasaray Üniversitesi	Galatasaray Üniversitesi Mezunlar Derneği
Seyyid	Şerif
Emily Brontë	Brontë
Kilise (bina)	Sivişli Kilise
Sirius	Nommo'nun gemisi
Başak kümesi	Ocak kümesi
Pax Romana	Pax Britannica
Takımada	Ada ülkesi
Volker Schlöndorff	Alman sineması
Man Booker Uluslararası Ödülü	Man Booker Ödülü
Su-24	Panavia Tornado
Sauna Çetesi	Türk İntikam Tugayı
M1936 mayını	Mayın
Türk edebiyatında şiir	Lirik şiir
Muhammed bin Abdullah	Kureyş
Bachata	Salsa
Freedom House	Freedom House Basın Özgürlüğü Raporu
Enduro motosiklet	MotoX
Getting Acquainted (film, 1914)	Slapstick
Andronovo Kültürü	Anav Kültürü
Homolog rekombinasyon	DNA tamiri
David Coverdale	Whitesnake
Friedrich Engels	Maoculuk
III. Joachim	Rum Ortodoks Patrikhanesi
İskenderiye	İskenderiye Kütüphanesi
Tamamlayıcılık (moleküler biyoloji)	Baz çifti
PRK	Göz
Türk edebiyatında şiir	Senfonik şiir
Işık verimi	Işık akısı
Vagetoterapi	Biyo-enerjetik Analiz
Prekognisyon	Postkognisyon
Mosfilm	Soyuzmultfilm
